claim_id,total_sales,avg_sales,transaction_count,total_posts,sales_per_post,post_engagement_ratio,opportunity_score,product_count,avg_sales_per_product,estimated_new_sales,sales_increase_percentage
430,1220752663.0,110776.10372050817,11020,730477.0,1671.1719369672146,7.7024267918134965,3.2961268489756437,678,1800520.151917404,1800520.151917404,0.14749262536873156
227,1499492009.0,81198.46260897818,18467,22893857.0,65.49757033076602,0.3018781187948336,0.3914024519620531,960,1561970.8427083334,1561970.8427083334,0.10416666666666667
438,606609483.0,31945.30954763284,18989,46626862.0,13.009871498536617,0.059962461415090845,0.14834991887927934,1508,402260.93037135276,402260.93037135276,0.0663129973474801
187,455753019.0,27212.384702651063,16748,6372863.0,71.51464247701543,0.32961078751810896,0.22848560031424567,2381,191412.43973120538,191412.43973120538,0.041999160016799666
8,2430267266.0,15692.304939626783,154870,384482808.0,6.320873691704832,0.029132889198109788,0.6116531556792439,18655,130274.31069418386,130274.31069418386,0.005360493165371214
39,35551795.0,14024.376725838265,2535,77543.0,458.4784571141173,2.113125928833959,0.8543755887122242,335,106124.76119402985,106124.76119402985,0.2985074626865672
193,5584214.0,8564.745398773006,652,7953.0,702.15189236766,3.2362161116168333,1.2962475522516481,121,46150.52892561984,46150.52892561984,0.8264462809917356
152,4064889.0,18994.80841121495,214,24982.0,162.7127131534705,0.7499424406541735,0.3009223810258119,100,40648.89,40648.89,1.0
40,178879794.0,17658.41994076999,10130,1110562.0,161.07141609383356,0.7423777070885689,0.3394750178994831,7537,23733.553668568395,23733.553668568395,0.013267878466233248
163,1913902.0,24537.20512820513,78,3948.0,484.7776089159068,2.2343386460650096,0.8941511990201325,105,18227.638095238097,18227.638095238097,0.9523809523809524
