claim_id,post_engagement_ratio,normalized_efficiency,inverse_efficiency,inverse_efficiency_normalized,recommended_increase
430,7.7024267918134965,0.4279125995451942,2.3369258139695988,0.001968836022304652,100.0
193,3.2362161116168333,0.17978978397871295,5.562051290513812,0.004685971147739707,100.0
163,2.2343386460650096,0.12412992478138943,8.056075130643503,0.006787160645318595,100.0
39,2.113125928833959,0.11739588493521996,8.518186140441024,0.007176484429990851,100.0
152,0.7499424406541735,0.04166346892523186,24.001842040435307,0.020221305669350605,100.0
40,0.7423777070885689,0.04124320594936494,24.246417730661356,0.020427358179113043,100.0
187,0.32961078751810896,0.01831171041767272,54.609863152646575,0.04600824942980273,100.0
227,0.3018781187948336,0.01677100659971298,59.626713164439046,0.05023489409377623,100.0
158,0.15585075337946666,0.008658375187748148,100.0,0.08424897403826037,100.0
120,0.14050398764080685,0.007805777091155936,100.0,0.08424897403826037,100.0
